Number of employees,Is your employer a tech company?,Does your medical coverage include treatment of mental health?,Do you currently have a mental health disorder?,Do you know the options for mental health care available under your employer-provided health coverage?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Do you have a family history of mental illness?,What is your age?,What is your gender?,What country do you work in?,What is your race?,Is your primary role within your company related to tech/IT?,Do you believe your productivity is ever affected by a mental health issue?,How well do you think the tech industry supports employees with mental health issues?,"Anxiety Disorder (Generalized, Social, Phobia, etc)","Mood Disorder (Depression, Bipolar Disorder, etc)","Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","Eating Disorder (Anorexia, Bulimia, etc)",Attention Deficit Hyperactivity Disorder,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Obsessive-Compulsive Disorder,Post traumatic Stress Disorder,Stress Response Syndromes,Dissociative Disorder,Substance Use Disorder,Addictive Disorder,Other
More than 1000,No,No,Yes,No,Yes,Yes,Yes,38.0,Male,United Kingdom,No Answer,Yes,No,3.0,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No
6-25,Yes,No,Yes,No,Yes,Yes,No,61.0,Male,United States of America,White,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
6-25,Yes,No,No,Yes,No,No,I don't know,44.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Yes,No,Yes,Yes,Yes,32.0,Female,United States of America,White,No,Yes,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,No,No,No,No,No,31.0,Male,Ireland,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Possibly,No,No,Yes,No,30.0,Female,United States of America,White,No,No,2.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Possibly,No,No,Possibly,No,52.0,Male,Italy,No Answer,No,Yes,1.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,Yes,44.0,Male,United States of America,More than one of the above,Yes,No,1.0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,39.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No
No Answer,No,No,Don't Know,No,No,No,Yes,36.0,Male,Spain,No Answer,No,Yes,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,Don't Know,No,No,Don't Know,I don't know,30.0,Other,Netherlands,No Answer,No,Yes,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Don't Know,No,No,Don't Know,I don't know,39.0,Male,United States of America,White,Yes,No,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,Yes,Yes,Yes,Possibly,Yes,33.0,Male,United States of America,White,Yes,No,3.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No Answer,No,yes,No,No,No,No,I don't know,37.0,Male,United States of America,No Answer,No,Not applicable to me,2.0,No,No,No,No,No,No,No,No,No,No,No,No,No
26-100,No,No,Possibly,No,No,No,No,34.0,Male,Estonia,No Answer,Yes,No,3.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No
26-100,Yes,No,Possibly,No,No,Yes,No,28.0,Male,India,No Answer,Yes,No,4.0,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
26-100,Yes,No,Yes,No,Yes,Yes,No,43.0,Female,Italy,No Answer,Yes,No,2.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,No,No,No,Yes,42.0,Male,United States of America,White,Yes,No,1.0,No,No,No,No,No,No,No,No,No,No,No,No,No
100-500,No,No,Yes,Yes,Yes,No,Yes,35.0,Male,United States of America,More than one of the above,Yes,No,1.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No
More than 1000,Yes,No,No,Yes,No,No,Yes,28.0,Female,United States of America,White,Yes,No,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No
